title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Spacious 3BHK Independent House in Electronic City","Bangalore","Electronic City","3","1806","5","12","1","Furnished","South","Independent House","Rent","39666","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Yelahanka","Bangalore","Yelahanka","3","865","7","14","13","Furnished","South-West","Apartment","Rent","38566","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Bellandur","Bangalore","Bellandur","3","1703","12","12","20","Furnished","North-East","Villa","Buy","11096206","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Indiranagar","Bangalore","Indiranagar","3","1149","15","17","1","Semi-Furnished","North-East","Studio","Rent","60892","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Rajajinagar","Bangalore","Rajajinagar","3","1018","1","13","25","Furnished","South-West","Villa","Rent","55231","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Villa in JP Nagar","Bangalore","JP Nagar","5","1365","14","29","7","Furnished","North","Villa","Rent","90228","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Koramangala","Bangalore","Koramangala","2","1074","2","2","12","Semi-Furnished","West","Studio","Buy","9526577","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Bannerghatta Road","Bangalore","Bannerghatta Road","3","1644","8","19","22","Unfurnished","South","Independent House","Rent","36871","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Hebbal","Bangalore","Hebbal","1","775","1","2","11","Furnished","South","Apartment","Buy","5790254","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Builder Floor in Hebbal","Bangalore","Hebbal","3","1135","2","5","4","Furnished","East","Builder Floor","Buy","8994685","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Studio in Koramangala","Bangalore","Koramangala","3","1745","6","19","10","Unfurnished","East","Studio","Buy","14523992","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Whitefield","Bangalore","Whitefield","2","1343","6","16","","Semi-Furnished","East","Independent House","Buy","9896157","true","true","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in Electronic City","Bangalore","Electronic City","1","1126","6","7","25","Semi-Furnished","North-East","Independent House","Buy","4863851","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Malleshwaram","Bangalore","Malleshwaram","3","1297","8","23","10","Unfurnished","South-East","Studio","Buy","10450928","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Jayanagar","Bangalore","Jayanagar","2","1183","9","15","15","Semi-Furnished","South","Independent House","Rent","38821","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Yelahanka","Bangalore","Yelahanka","2","1401","10","10","22","Semi-Furnished","South-East","Independent House","Buy","6378255","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Builder Floor in Yelahanka","Bangalore","Yelahanka","3","1299","2","5","","Semi-Furnished","East","Builder Floor","Buy","8004943","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Rajajinagar","Bangalore","Rajajinagar","1","702","5","20","11","Furnished","South-East","Villa","Buy","6196544","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in HSR Layout","Bangalore","HSR Layout","2","1124","15","16","1","Semi-Furnished","South-East","Builder Floor","Buy","9571798","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Independent House in Rajajinagar","Bangalore","Rajajinagar","4","1305","1","2","13","Unfurnished","West","Independent House","Rent","68243","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Builder Floor in Indiranagar","Bangalore","Indiranagar","4","1543","1","12","19","Semi-Furnished","South-East","Builder Floor","Rent","82948","","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Koramangala","Bangalore","Koramangala","4","1564","2","7","9","Semi-Furnished","South-East","Independent House","Rent","78341","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Bannerghatta Road","Bangalore","Bannerghatta Road","2","856","15","19","19","Unfurnished","East","Studio","Buy","4522011","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Jayanagar","Bangalore","Jayanagar","3","1126","4","12","16","Furnished","North-East","Independent House","Buy","9766561","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Koramangala","Bangalore","Koramangala","3","1573","2","11","22","Semi-Furnished","North-West","Apartment","Rent","56098","true","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Builder Floor in Marathahalli","Bangalore","Marathahalli","4","1947","19","22","19","Unfurnished","East","Builder Floor","Buy","10419267","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Marathahalli","Bangalore","Marathahalli","2","967","9","23","8","Unfurnished","South","Apartment","Rent","26705","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Indiranagar","Bangalore","Indiranagar","3","1080","6","6","14","Unfurnished","South","Builder Floor","Rent","55429","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in JP Nagar","Bangalore","JP Nagar","2","1218","9","24","16","Unfurnished","North","Studio","Rent","29043","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Malleshwaram","Bangalore","Malleshwaram","3","1687","4","18","25","Furnished","South","Villa","Buy","11777702","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Sarjapur","Bangalore","Sarjapur","3","960","4","15","24","Unfurnished","North-West","Studio","Buy","4347046","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Yelahanka","Bangalore","Yelahanka","2","869","1","13","4","Unfurnished","South-West","Studio","Buy","4583031","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in JP Nagar","Bangalore","JP Nagar","2","780","3","18","6","Furnished","North","Apartment","Buy","5750748","","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Koramangala","Bangalore","Koramangala","4","1587","19","28","3","Semi-Furnished","North","Builder Floor","Rent","78582","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Marathahalli","Bangalore","Marathahalli","3","1426","10","17","19","Unfurnished","North","Villa","Rent","41688","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Studio in Bannerghatta Road","Bangalore","Bannerghatta Road","1","923","17","20","24","Unfurnished","South-West","Studio","Rent","13443","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Jayanagar","Bangalore","Jayanagar","3","1182","9","13","18","Unfurnished","East","Builder Floor","Buy","8142105","","true","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in Marathahalli","Bangalore","Marathahalli","1","932","5","18","16","Semi-Furnished","North-West","Villa","Rent","13350","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in Jayanagar","Bangalore","Jayanagar","2","1191","4","8","9","Furnished","South","Villa","Buy","9898831","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Yelahanka","Bangalore","Yelahanka","1","694","4","14","4","Semi-Furnished","North","Villa","Buy","4111822","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Sarjapur","Bangalore","Sarjapur","2","1182","16","30","14","Unfurnished","North-West","Apartment","Buy","6539218","","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Bannerghatta Road","Bangalore","Bannerghatta Road","2","1336","17","21","16","Furnished","South-East","Independent House","Buy","7746401","","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Jayanagar","Bangalore","Jayanagar","3","1252","11","25","10","Semi-Furnished","East","Apartment","Rent","58982","","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Rajajinagar","Bangalore","Rajajinagar","4","2076","9","15","23","Unfurnished","North","Independent House","Rent","67479","","true","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Koramangala","Bangalore","Koramangala","4","1716","2","13","2","Semi-Furnished","North-West","Studio","Buy","16406075","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Malleshwaram","Bangalore","Malleshwaram","2","1244","4","8","7","Unfurnished","South","Apartment","Buy","9325903","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Villa in Electronic City","Bangalore","Electronic City","5","1796","4","14","23","Furnished","North-East","Villa","Buy","9514824","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Builder Floor in Bannerghatta Road","Bangalore","Bannerghatta Road","1","1044","12","24","11","Semi-Furnished","South","Builder Floor","Rent","13255","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Builder Floor in Electronic City","Bangalore","Electronic City","5","1238","12","26","6","Unfurnished","North-East","Builder Floor","Buy","7189295","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Jayanagar","Bangalore","Jayanagar","2","1120","19","30","14","Furnished","West","Apartment","Buy","9153847","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Bannerghatta Road","Bangalore","Bannerghatta Road","2","904","","15","22","Furnished","North","Apartment","Rent","31162","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Yelahanka","Bangalore","Yelahanka","4","1829","14","28","17","Semi-Furnished","West","Builder Floor","Buy","8702800","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Marathahalli","Bangalore","Marathahalli","4","1996","18","23","5","Unfurnished","East","Independent House","Rent","53376","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Marathahalli","Bangalore","Marathahalli","3","1670","17","25","10","Semi-Furnished","South","Studio","Buy","10077500","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Independent House in Bannerghatta Road","Bangalore","Bannerghatta Road","4","2077","6","14","19","Semi-Furnished","North","Independent House","Buy","10032954","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Builder Floor in Bellandur","Bangalore","Bellandur","1","960","17","29","15","Unfurnished","East","Builder Floor","Buy","5919832","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Yelahanka","Bangalore","Yelahanka","2","713","6","18","19","Furnished","North","Builder Floor","Buy","3348006","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Yelahanka","Bangalore","Yelahanka","1","881","11","20","5","Furnished","North","Studio","Buy","5092879","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Whitefield","Bangalore","Whitefield","3","1345","5","13","10","Semi-Furnished","East","Studio","Buy","9161833","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Electronic City","Bangalore","Electronic City","3","1756","5","19","6","Semi-Furnished","South","Independent House","Rent","41018","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in JP Nagar","Bangalore","JP Nagar","3","1799","","14","22","Semi-Furnished","North-West","Builder Floor","Rent","49483","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Studio in Hebbal","Bangalore","Hebbal","5","2327","17","31","5","Unfurnished","North-East","Studio","Buy","16289015","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Jayanagar","Bangalore","Jayanagar","3","1639","20","31","4","Unfurnished","North-West","Studio","Rent","53550","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in JP Nagar","Bangalore","JP Nagar","2","866","18","25","3","Unfurnished","North-East","Villa","Buy","6414165","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Builder Floor in Indiranagar","Bangalore","Indiranagar","1","600","8","20","21","Unfurnished","North","Builder Floor","Buy","4323695","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Electronic City","Bangalore","Electronic City","2","883","16","27","7","Unfurnished","South","Villa","Buy","4639850","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Independent House in Bellandur","Bangalore","Bellandur","4","1131","8","16","22","Unfurnished","East","Independent House","Buy","6435408","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Studio in Electronic City","Bangalore","Electronic City","3","1780","15","19","7","Semi-Furnished","North-East","Studio","Buy","10709605","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Jayanagar","Bangalore","Jayanagar","2","1053","19","29","","Unfurnished","South","Builder Floor","Rent","37014","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Bellandur","Bangalore","Bellandur","2","739","4","4","16","Furnished","East","Builder Floor","Buy","4937158","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in JP Nagar","Bangalore","JP Nagar","2","1390","10","13","24","Furnished","North-West","Independent House","Buy","8561093","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Builder Floor in Bannerghatta Road","Bangalore","Bannerghatta Road","4","1873","14","25","5","Furnished","South-West","Builder Floor","Buy","12895411","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Marathahalli","Bangalore","Marathahalli","2","876","16","31","19","Unfurnished","North","Builder Floor","Rent","27304","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Indiranagar","Bangalore","Indiranagar","2","978","3","9","6","Semi-Furnished","South-West","Villa","Rent","40375","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Yelahanka","Bangalore","Yelahanka","2","751","17","30","5","Furnished","South-West","Independent House","Rent","26950","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Jayanagar","Bangalore","Jayanagar","2","1093","1","8","2","Unfurnished","North-East","Studio","Buy","9043573","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Marathahalli","Bangalore","Marathahalli","2","1313","17","19","5","Unfurnished","South","Studio","Buy","8566216","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Koramangala","Bangalore","Koramangala","2","1174","16","22","3","Semi-Furnished","East","Studio","Rent","40147","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Yelahanka","Bangalore","Yelahanka","3","1769","20","26","14","Semi-Furnished","West","Apartment","Buy","8451269","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Malleshwaram","Bangalore","Malleshwaram","3","1258","19","30","9","Unfurnished","South-West","Apartment","Buy","9685599","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Rajajinagar","Bangalore","Rajajinagar","2","1412","2","9","","Unfurnished","North","Independent House","Buy","11118928","","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Independent House in Hebbal","Bangalore","Hebbal","5","2201","14","29","2","Semi-Furnished","North-East","Independent House","Rent","89436","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Yelahanka","Bangalore","Yelahanka","2","1096","10","24","21","Unfurnished","South-East","Builder Floor","Rent","22443","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Sarjapur","Bangalore","Sarjapur","3","1523","1","8","2","Unfurnished","West","Independent House","Rent","44410","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Independent House in Sarjapur","Bangalore","Sarjapur","4","2174","13","19","","Unfurnished","North-East","Independent House","Rent","51488","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Bellandur","Bangalore","Bellandur","3","925","20","31","20","Semi-Furnished","South-West","Villa","Buy","5840876","","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Builder Floor in Bannerghatta Road","Bangalore","Bannerghatta Road","5","1368","17","19","12","Furnished","North-East","Builder Floor","Rent","78004","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Malleshwaram","Bangalore","Malleshwaram","3","1844","10","19","5","Furnished","South-East","Independent House","Buy","16911478","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Builder Floor in Bellandur","Bangalore","Bellandur","1","1124","7","14","5","Unfurnished","West","Builder Floor","Rent","15805","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Villa in Hebbal","Bangalore","Hebbal","4","1696","11","20","12","Unfurnished","North","Villa","Rent","60865","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Studio in Whitefield","Bangalore","Whitefield","4","1416","4","11","1","Semi-Furnished","North","Studio","Rent","66843","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Independent House in Koramangala","Bangalore","Koramangala","4","1018","19","31","5","Semi-Furnished","North","Independent House","Buy","10300460","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Yelahanka","Bangalore","Yelahanka","2","829","8","13","5","Semi-Furnished","North-West","Studio","Buy","4717144","","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Bannerghatta Road","Bangalore","Bannerghatta Road","2","1340","10","22","6","Unfurnished","South","Independent House","Rent","27395","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Electronic City","Bangalore","Electronic City","3","889","3","6","25","Semi-Furnished","East","Apartment","Buy","3685992","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in Whitefield","Bangalore","Whitefield","3","1285","2","12","23","Semi-Furnished","South-West","Builder Floor","Buy","7246529","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Villa in Bannerghatta Road","Bangalore","Bannerghatta Road","4","1827","17","21","9","Unfurnished","South","Villa","Buy","10236203","","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in HSR Layout","Bangalore","HSR Layout","2","1238","20","24","12","Furnished","East","Studio","Buy","9750775","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Studio in Bannerghatta Road","Bangalore","Bannerghatta Road","5","1731","20","29","9","Furnished","North","Studio","Buy","10684809","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Apartment in JP Nagar","Bangalore","JP Nagar","5","1559","4","8","14","Semi-Furnished","South-West","Apartment","Buy","10207538","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Jayanagar","Bangalore","Jayanagar","3","1115","1","7","24","Semi-Furnished","East","Villa","Buy","7613337","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Yelahanka","Bangalore","Yelahanka","4","2122","3","16","4","Semi-Furnished","East","Apartment","Buy","12645326","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Rajajinagar","Bangalore","Rajajinagar","2","989","14","17","2","Semi-Furnished","South-West","Independent House","Buy","8155132","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Sarjapur","Bangalore","Sarjapur","3","956","2","15","11","Unfurnished","West","Independent House","Buy","5726158","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Builder Floor in Indiranagar","Bangalore","Indiranagar","1","743","18","30","14","Unfurnished","North-West","Builder Floor","Buy","6017865","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Yelahanka","Bangalore","Yelahanka","3","1551","14","18","25","Unfurnished","North","Studio","Buy","6767768","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Hebbal","Bangalore","Hebbal","4","1982","17","31","","Unfurnished","South","Villa","Rent","63722","","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in HSR Layout","Bangalore","HSR Layout","2","827","14","28","25","Furnished","East","Studio","Buy","5156380","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Bellandur","Bangalore","Bellandur","3","1512","12","16","1","Furnished","South","Villa","Rent","55624","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in Rajajinagar","Bangalore","Rajajinagar","2","861","14","28","12","Furnished","South","Villa","Buy","7732307","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Builder Floor in Yelahanka","Bangalore","Yelahanka","1","712","10","10","4","Semi-Furnished","North-East","Builder Floor","Buy","4038743","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Hebbal","Bangalore","Hebbal","3","1711","","1","22","Unfurnished","South-East","Villa","Buy","9569434","","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Villa in Malleshwaram","Bangalore","Malleshwaram","4","1612","4","14","17","Semi-Furnished","South","Villa","Rent","71836","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Studio in Marathahalli","Bangalore","Marathahalli","1","1025","15","28","23","Furnished","East","Studio","Rent","15273","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in Yelahanka","Bangalore","Yelahanka","1","636","5","9","22","Furnished","South-West","Independent House","Buy","2975337","","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Independent House in Bannerghatta Road","Bangalore","Bannerghatta Road","5","1347","20","34","6","Semi-Furnished","North-West","Independent House","Rent","72794","","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Sarjapur","Bangalore","Sarjapur","3","1043","","8","15","Unfurnished","South-West","Villa","Buy","5283338","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in JP Nagar","Bangalore","JP Nagar","2","1135","3","7","24","Semi-Furnished","South","Apartment","Rent","31337","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Whitefield","Bangalore","Whitefield","3","1635","10","22","10","Furnished","West","Independent House","Buy","13060174","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Hebbal","Bangalore","Hebbal","3","947","3","7","","Furnished","North-West","Villa","Buy","8784045","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Studio in Electronic City","Bangalore","Electronic City","5","1786","19","26","2","Semi-Furnished","South-West","Studio","Buy","11124734","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in JP Nagar","Bangalore","JP Nagar","2","888","20","21","17","Unfurnished","South-East","Independent House","Buy","5489131","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Builder Floor in Electronic City","Bangalore","Electronic City","3","1792","","10","1","Unfurnished","South-East","Builder Floor","Rent","39726","true","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Powai","Mumbai","Powai","4","1325","11","26","19","Semi-Furnished","North-East","Builder Floor","Buy","23501990","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Juhu","Mumbai","Juhu","2","1248","15","15","12","Unfurnished","East","Builder Floor","Buy","37263508","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Bandra West","Mumbai","Bandra West","4","1304","12","27","19","Semi-Furnished","North-West","Builder Floor","Buy","39760005","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Malad","Mumbai","Malad","2","977","19","33","5","Semi-Furnished","South-East","Villa","Rent","49996","","true","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Goregaon","Mumbai","Goregaon","1","585","1","15","4","Unfurnished","North","Independent House","Buy","10605261","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Bandra West","Mumbai","Bandra West","4","1751","","11","21","Unfurnished","North-West","Builder Floor","Rent","187763","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Thane","Mumbai","Thane","2","1060","19","33","4","Unfurnished","North-West","Builder Floor","Buy","13774074","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Versova","Mumbai","Versova","2","731","16","27","11","Furnished","North","Apartment","Buy","16329980","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Goregaon","Mumbai","Goregaon","3","1687","8","11","20","Furnished","South","Independent House","Buy","26063894","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Independent House in Lower Parel","Mumbai","Lower Parel","4","1553","8","15","1","Furnished","East","Independent House","Rent","197926","","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Lower Parel","Mumbai","Lower Parel","3","1612","15","17","14","Furnished","North-East","Independent House","Buy","48984452","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Goregaon","Mumbai","Goregaon","3","1219","14","16","23","Semi-Furnished","West","Builder Floor","Buy","17451537","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Powai","Mumbai","Powai","2","1328","19","34","1","Unfurnished","North","Villa","Buy","28523169","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Versova","Mumbai","Versova","3","971","1","14","25","Furnished","South-West","Studio","Buy","16066019","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Goregaon","Mumbai","Goregaon","3","1359","11","25","1","Semi-Furnished","South","Villa","Buy","26265547","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Mira Road","Mumbai","Mira Road","2","1214","11","16","12","Unfurnished","North","Independent House","Buy","11536483","","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Villa in Goregaon","Mumbai","Goregaon","1","626","3","15","13","Unfurnished","South-West","Villa","Rent","26539","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Juhu","Mumbai","Juhu","3","871","15","27","24","Unfurnished","South-East","Villa","Rent","127811","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Mira Road","Mumbai","Mira Road","2","785","12","26","3","Furnished","South-West","Builder Floor","Rent","34339","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Worli","Mumbai","Worli","2","748","15","27","","Furnished","North-East","Villa","Buy","32823124","","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Navi Mumbai","Mumbai","Navi Mumbai","2","1256","19","24","4","Unfurnished","South-East","Apartment","Rent","30996","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Dahisar","Mumbai","Dahisar","4","1387","19","26","10","Semi-Furnished","South-West","Studio","Buy","17661086","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in Juhu","Mumbai","Juhu","4","1558","5","16","17","Furnished","North-East","Apartment","Buy","49616173","","","Amit Patel","+91-9654321098"
